metric_id,article_id,source_title,metric_scope,views,comments,likes,captured_at,source_document,source_image,source_confidence,notes
note-metric-0001,note-article-0084,【コピペで使える】成人向けAI画像生成プロンプト200選,all_time,684,0,12,2026-07-23T09:49:00+09:00,note_pv_screenshots_compiled.docx.zip,image1.png,visual_reviewed,
note-metric-0002,note-article-0088,【4、即BAN級】アダルトグラビア専用!!理性崩壊NSFWプロンプト200個公開,all_time,631,2,17,2026-07-23T09:49:00+09:00,note_pv_screenshots_compiled.docx.zip,image1.png,visual_reviewed,
note-metric-0003,,【2026年最新版】NSFWプロンプト100選 | アダルト・グラビアAI画像を生成,all_time,593,3,16,2026-07-23T09:49:00+09:00,note_pv_screenshots_compiled.docx.zip,image1.png,visual_reviewed,article match unresolved
note-metric-0004,note-article-0089,【2026年最新版】秘密のNSFWプロンプト100選 | 高品質AI画像を生成する実,all_time,587,0,20,2026-07-23T09:49:00+09:00,note_pv_screenshots_compiled.docx.zip,image1.png,visual_reviewed,
note-metric-0005,note-article-0041,R18専用プロンプト集のオールスターを作ってみた!!,all_time,587,0,30,2026-07-23T09:49:00+09:00,note_pv_screenshots_compiled.docx.zip,image1.png,visual_reviewed,
note-metric-0006,,【2026年最新版】秘密のNSFWプロンプト300選 | 高品質AI画像を生成する実,all_time,550,0,15,2026-07-23T09:49:00+09:00,note_pv_screenshots_compiled.docx.zip,image1.png,visual_reviewed,article match unresolved
note-metric-0007,note-article-0080,【NSFWプロンプト200個】盗撮BAN確定,all_time,538,0,4,2026-07-23T09:49:00+09:00,note_pv_screenshots_compiled.docx.zip,image1.png,visual_reviewed,
note-metric-0008,note-article-0087,【AIフィルター突破!?】特級NSFWプロンプト1000個大公開,all_time,537,0,33,2026-07-23T09:49:00+09:00,note_pv_screenshots_compiled.docx.zip,image1.png,visual_reviewed,
note-metric-0009,,【2026年最新版】秘密のNSFWプロンプト200選 | 高品質AI画像を生成する実,all_time,520,0,18,2026-07-23T09:49:00+09:00,note_pv_screenshots_compiled.docx.zip,image1.png,visual_reviewed,article match unresolved
note-metric-0010,note-article-0062,Grokに『完全無制限アダルトモード』を強制起動させた,all_time,510,0,16,2026-07-23T09:49:00+09:00,note_pv_screenshots_compiled.docx.zip,image1.png,visual_reviewed,
note-metric-0011,note-article-0082,盗撮地獄! トイレ・着替え・バック隠し撮り特化の200プロンプトVol.27,all_time,499,0,10,2026-07-23T09:49:00+09:00,note_pv_screenshots_compiled.docx.zip,image1.png,visual_reviewed,
